Loja;mes;ano;volume
Loja 02;Janeiro;2015;3.775
Loja 02;Fevereiro;2015;6.875
Loja 02;Março;2015;16
Loja 02;Abril;2015;64.475
Loja 02;Maio;2015;94.65
Loja 02;Junho;2015;144.3
Loja 02;Julho;2015;132
Loja 02;Agosto;2015;58.575
Loja 02;Setembro;2015;57.475
Loja 02;Outubro;2015;21.95
Loja 02;Novembro;2015;1.85
Loja 02;Dezembro;2015;0.675
Loja 02;Janeiro ;2016;0.75
Loja 02;Fevereiro;2016;6.6
Loja 02;Março;2016;17.15
Loja 02;Abril;2016;13.325
Loja 02;Maio;2016;60.075
Loja 02;Junho;2016;62.075
Loja 02;Julho;2016;120.175
Loja 02;Agosto;2016;150.525
Loja 02;Setembro;2016;77.95
Loja 02;Outubro;2016;12.825
Loja 02;Novembro;2016;1.6
Loja 02;Dezembro;2016;0
Loja 02;Janeiro ;2017;0
Loja 02;Fevereiro;2017;8
Loja 02;Março;2017;18.275
Loja 02;Abril;2017;74.125
Loja 02;Maio;2017;89.9
Loja 02;Junho;2017;123.15
Loja 02;Julho;2017;181.475
Loja 02;Agosto;2017;195.8
Loja 02;Setembro;2017;159.075
Loja 02;Outubro;2017;108.15
Loja 02;Novembro;2017;0
Loja 02;Dezembro;2017;0
Loja 02;Janeiro ;2018;1.275
Loja 02;Fevereiro;2018;4.95
Loja 02;Março;2018;6.2
Loja 02;Abril;2018;21.575
Loja 02;Maio;2018;54.35
Loja 02;Junho;2018;36.25
Loja 02;Julho;2018;64.525
Loja 02;Agosto;2018;30.775
Loja 02;Setembro;2018;20.975
Loja 02;Outubro;2018;9.025
Loja 02;Novembro;2018;37.325
Loja 02;Dezembro;2018;0.05
Loja 02;Janeiro ;2019;2.75
Loja 02;Fevereiro;2019;2.55
Loja 02;Março;2019;1.525
Loja 02;Abril;2019;23.925
Loja 02;Maio;2019;27.85
Loja 02;Junho;2019;48.95
Loja 02;Julho;2019;129.65
Loja 02;Agosto;2019;113.7
Loja 02;Setembro;2019;13.725
Loja 02;Outubro;2019;5.925
Loja 02;Novembro;2019;18.45
Loja 02;Dezembro;2019;7.4
Loja 02;Janeiro ;2020;10.7
Loja 02;Fevereiro;2020;12.125
Loja 02;Março;2020;19.05
Loja 02;Abril;2020;23.95
Loja 02;Maio;2020;
Loja 02;Junho;2020;
Loja 02;Julho;2020;
Loja 02;Agosto;2020;
Loja 02;Setembro;2020;
Loja 02;Outubro;2020;
Loja 02;Novembro;2020;
Loja 02;Dezembro;2020;
Loja 06;Janeiro;2015;5.3
Loja 06;Fevereiro;2015;0
Loja 06;Março;2015;40.625
Loja 06;Abril;2015;28.7
Loja 06;Maio;2015;43.525
Loja 06;Junho;2015;175.5
Loja 06;Julho;2015;102.35
Loja 06;Agosto;2015;70.8
Loja 06;Setembro;2015;131.9
Loja 06;Outubro;2015;38.55
Loja 06;Novembro;2015;0
Loja 06;Dezembro;2015;0.125
Loja 06;Janeiro;2016;0
Loja 06;Fevereiro;2016;0.175
Loja 06;Março;2016;37.55
Loja 06;Abril;2016;27.375
Loja 06;Maio;2016;91.825
Loja 06;Junho;2016;58.1
Loja 06;Julho;2016;94.875
Loja 06;Agosto;2016;118.85
Loja 06;Setembro;2016;58.5
Loja 06;Outubro;2016;9.75
Loja 06;Novembro;2016;0
Loja 06;Dezembro;2016;0
Loja 06;Janeiro;2017;0
Loja 06;Fevereiro;2017;25.6
Loja 06;Março;2017;22.875
Loja 06;Abril;2017;28.25
Loja 06;Maio;2017;68.05
Loja 06;Junho;2017;99.3
Loja 06;Julho;2017;158.55
Loja 06;Agosto;2017;144.2
Loja 06;Setembro;2017;68.95
Loja 06;Outubro;2017;12.7
Loja 06;Novembro;2017;17.75
Loja 06;Dezembro;2017;1.5
Loja 06;Janeiro;2018;4.7
Loja 06;Fevereiro;2018;7.325
Loja 06;Março;2018;38.15
Loja 06;Abril;2018;61.425
Loja 06;Maio;2018;142.575
Loja 06;Junho;2018;167.375
Loja 06;Julho;2018;329.35
Loja 06;Agosto;2018;68.85
Loja 06;Setembro;2018;96.1
Loja 06;Outubro;2018;53.2
Loja 06;Novembro;2018;4.2
Loja 06;Dezembro;2018;0.225
Loja 06;Janeiro;2019;3.175
Loja 06;Fevereiro;2019;0.925
Loja 06;Março;2019;1.625
Loja 06;Abril;2019;12.625
Loja 06;Maio;2019;21.45
Loja 06;Junho;2019;40.05
Loja 06;Julho;2019;140.4
Loja 06;Agosto;2019;67.15
Loja 06;Setembro;2019;12.7
Loja 06;Outubro;2019;4.65
Loja 06;Novembro;2019;32.45
Loja 06;Dezembro;2019;4.625
Loja 06;Janeiro;2020;26.4
Loja 06;Fevereiro;2020;4.65
Loja 06;Março;2020;18.825
Loja 06;Abril;2020;2.45
Loja 06;Maio;2020;
Loja 06;Junho;2020;
Loja 06;Julho;2020;
Loja 06;Agosto;2020;
Loja 06;Setembro;2020;
Loja 06;Outubro;2020;
Loja 06;Novembro;2020;
Loja 06;Dezembro;2020;
Loja 10;Janeiro;2015;0
Loja 10;Fevereiro;2015;0
Loja 10;Março;2015;1.3
Loja 10;Abril;2015;4.65
Loja 10;Maio;2015;5.925
Loja 10;Junho;2015;15.825
Loja 10;Julho;2015;11.65
Loja 10;Agosto;2015;20.6
Loja 10;Setembro;2015;10.975
Loja 10;Outubro;2015;9.75
Loja 10;Novembro;2015;1.375
Loja 10;Dezembro;2015;0.8
Loja 10;Janeiro;2016;17.225
Loja 10;Fevereiro;2016;1.375
Loja 10;Março;2016;0.325
Loja 10;Abril;2016;0
Loja 10;Maio;2016;3.05
Loja 10;Junho;2016;3.225
Loja 10;Julho;2016;15.925
Loja 10;Agosto;2016;17.175
Loja 10;Setembro;2016;10.95
Loja 10;Outubro;2016;2.35
Loja 10;Novembro;2016;0
Loja 10;Dezembro;2016;0.025
Loja 10;Janeiro;2017;0
Loja 10;Fevereiro;2017;5.05
Loja 10;Março;2017;2.7
Loja 10;Abril;2017;5.175
Loja 10;Maio;2017;21.025
Loja 10;Junho;2017;17.975
Loja 10;Julho;2017;37.725
Loja 10;Agosto;2017;43.75
Loja 10;Setembro;2017;37.05
Loja 10;Outubro;2017;17
Loja 10;Novembro;2017;4.875
Loja 10;Dezembro;2017;1.125
Loja 10;Janeiro;2018;0.15
Loja 10;Fevereiro;2018;0.05
Loja 10;Março;2018;1.65
Loja 10;Abril;2018;1.525
Loja 10;Maio;2018;18.3
Loja 10;Junho;2018;8.95
Loja 10;Julho;2018;13.05
Loja 10;Agosto;2018;13.225
Loja 10;Setembro;2018;7.125
Loja 10;Outubro;2018;5.475
Loja 10;Novembro;2018;11.5
Loja 10;Dezembro;2018;0.15
Loja 10;Janeiro;2019;3.15
Loja 10;Fevereiro;2019;1.375
Loja 10;Março;2019;2.825
Loja 10;Abril;2019;2.95
